name;project;difficulty;fun;last_name;email;gender;avatar;adress
René;SCRUM;1;1;Nagelhout;rfwnag@hotmail.com;Male;https://randomuser.me/api/portraits/men/42.jpg;8381AP Vledder
Evelyn;SCRUM;3;4;Seaton;mseaton1@blinklist.com;Female;https://randomuser.me/api/portraits/women/37.jpg;5743 Arizona Center
Floris;SCRUM;2;1;Cogley;scogley2@mozilla.com;Male;https://randomuser.me/api/portraits/men/36.jpg;86 Shoshone Point
Hector;SCRUM;1;2;Mullane;tmullane3@sun.com;Male;https://randomuser.me/api/portraits/men/87.jpg;34603 Mockingbird Street
Martina;SCRUM;1;1;Poulsum;wpoulsum4@etsy.com;Female;https://randomuser.me/api/portraits/women/45.jpg;9401 Bobwhite Way
Maurits;SCRUM;3;4;Varvell;cvarvell5@netscape.com;Male;https://randomuser.me/api/portraits/men/88.jpg;621 Talisman Junction
Rahima;SCRUM;2;4;Cotillard;jcotillard6@census.gov;Female;https://randomuser.me/api/portraits/women/37.jpg;5 Karstens Place
Sandra;SCRUM;4;1;Toe;htoe7@google.co.uk;Female;https://randomuser.me/api/portraits/women/75.jpg;4525 Russell Pass
Storm;SCRUM;1;1;Dispencer;mdispencer8@creats.org;Male;https://randomuser.me/api/portraits/men/42.jpg;332 Shoshone Point
Wietske;SCRUM;1;1;Isack;nisack9@nsw.gov.au;Female;https://randomuser.me/api/portraits/women/50.jpg;45727 Lake View Parkway
René;W1D1-1;4;3;;;;;
Evelyn;W1D1-1;3;3;;;;;
Floris;W1D1-1;4;3;;;;;
Hector;W1D1-1;1;4;;;;;
Martina;W1D1-1;4;1;;;;;
Maurits;W1D1-1;4;3;;;;;
Rahima;W1D1-1;3;4;;;;;
Sandra;W1D1-1;2;4;;;;;
Storm;W1D1-1;2;2;;;;;
Wietske;W1D1-1;4;3;;;;;
René;W1D2-1;3;1;;;;;
Evelyn;W1D2-1;1;3;;;;;
Floris;W1D2-1;1;2;;;;;
Hector;W1D2-1;2;4;;;;;
Martina;W1D2-1;3;3;;;;;
Maurits;W1D2-1;2;2;;;;;
Rahima;W1D2-1;2;4;;;;;
Sandra;W1D2-1;3;4;;;;;
Storm;W1D2-1;2;3;;;;;
Wietske;W1D2-1;1;4;;;;;
René;W1D2-2;3;2;;;;;
